Year,State,Number,Population
2014,New South Wales,261340,7562171
2014,Victoria,222641,5957512
2014,Queensland,180847,4747263
2014,South Australia,67625,1693107
2014,Western Australia,163828,2528619
2014,Tasmania,16144,514040
2014,Northern Territory,14654,242753
2014,Australian Capital Territory,14705,391981
2015,New South Wales,250129,7671401
2015,Victoria,242213,6093049
2015,Queensland,179658,4804933
2015,South Australia,69714,1705937
2015,Western Australia,198730,2547745
2015,Tasmania,16619,515694
2015,Northern Territory,14542,244090
2015,Australian Capital Territory,17368,398874
2016,New South Wales,244727,7795625
2016,Victoria,276339,6235781
2016,Queensland,197052,4882939
2016,South Australia,74598,1719580
2016,Western Australia,176132,2569606
2016,Tasmania,14680,521981
2016,Northern Territory,15526,246065
2016,Australian Capital Territory,15637,408878
2017,New South Wales,217000,7900946
2017,Victoria,234841,6358210
2017,Queensland,218335,4960965
2017,South Australia,67890,1735654
2017,Western Australia,163310,2599928
2017,Tasmania,16387,531561
2017,Northern Territory,16351,246862
2017,Australian Capital Territory,16865,420226
2018,New South Wales,254980,8003564
2018,Victoria,219673,6479695
2018,Queensland,227042,5046434
2018,South Australia,74931,1755715
2018,Western Australia,163278,2636404
2018,Tasmania,14650,542927
2018,Northern Territory,17795,245920
2018,Australian Capital Territory,14929,430758
2019,New South Wales,232717,8088361
2019,Victoria,246205,6590050
2019,Queensland,245623,5129741
2019,South Australia,85942,1778928
2019,Western Australia,166378,2688799
2019,Tasmania,16535,553340
2019,Northern Territory,16957,246213
2019,Australian Capital Territory,15906,440267
2020,New South Wales,177543,8094300
2020,Victoria,200906,6567195
2020,Queensland,205447,5184329
2020,South Australia,66097,1794514
2020,Western Australia,110854,2728187
2020,Tasmania,12980,561881
2020,Northern Territory,14034,247819
2020,Australian Capital Territory,12672,447650
2021,New South Wales,177094,8101223
2021,Victoria,189807,6566092
2021,Queensland,216840,5261012
2021,South Australia,69806,1805733
2021,Western Australia,123387,2763015
2021,Tasmania,13543,568628
2021,Northern Territory,16824,248125
2021,Australian Capital Territory,13549,452670
2022,New South Wales,193083,8248249
2022,Victoria,195219,6717414
2022,Queensland,252510,5386543
2022,South Australia,70170,1835948
2022,Western Australia,128655,2834886
2022,Tasmania,15217,572647
2022,Northern Territory,32539,251320
2022,Australian Capital Territory,12801,461192
2023,New South Wales,2420695,8428215
2023,Victoria,233800,6903901
2023,Queensland,283997,5527248
2023,South Australia,79427,1866388
2023,Western Australia,134965,2928484
2023,Tasmania,19496,574717
2023,Northern Territory,14790,253815
2023,Australian Capital Territory,12207,470018