Year,State,Sex,Number of Offense
2014,New South Wales,Males,666
2014,New South Wales,Females,2550
2014,Victoria,Males,202
2014,Victoria,Females,1212
2014,Queensland,Males,250
2014,Queensland,Females,1058
2014,South Australia,Males,83
2014,South Australia,Females,547
2014,Western Australia,Males,88
2014,Western Australia,Females,485
2014,Tasmania,Males,11
2014,Tasmania,Females,71
2014,Northern Territory,Males,5
2014,Northern Territory,Females,104
2014,Australian Capital Territory,Males,11
2014,Australian Capital Territory,Females,41
2015,New South Wales,Males,633
2015,New South Wales,Females,2731
2015,Victoria,Males,244
2015,Victoria,Females,1496
2015,Queensland,Males,227
2015,Queensland,Females,1265
2015,South Australia,Males,82
2015,South Australia,Females,611
2015,Western Australia,Males,96
2015,Western Australia,Females,450
2015,Tasmania,Males,3
2015,Tasmania,Females,68
2015,Northern Territory,Males,7
2015,Northern Territory,Females,121
2015,Australian Capital Territory,Males,8
2015,Australian Capital Territory,Females,72
2016,New South Wales,Males,669
2016,New South Wales,Females,2776
2016,Victoria,Males,291
2016,Victoria,Females,1790
2016,Queensland,Males,219
2016,Queensland,Females,1282
2016,South Australia,Males,85
2016,South Australia,Females,590
2016,Western Australia,Males,109
2016,Western Australia,Females,551
2016,Tasmania,Males,4
2016,Tasmania,Females,93
2016,Northern Territory,Males,14
2016,Northern Territory,Females,102
2016,Australian Capital Territory,Males,9
2016,Australian Capital Territory,Females,81
2017,New South Wales,Males,619
2017,New South Wales,Females,2940
2017,Victoria,Males,279
2017,Victoria,Females,1895
2017,Queensland,Males,234
2017,Queensland,Females,1370
2017,South Australia,Males,88
2017,South Australia,Females,622
2017,Western Australia,Males,104
2017,Western Australia,Females,633
2017,Tasmania,Males,16
2017,Tasmania,Females,65
2017,Northern Territory,Males,12
2017,Northern Territory,Females,138
2017,Australian Capital Territory,Males,10
2017,Australian Capital Territory,Females,60
2018,New South Wales,Males,595
2018,New South Wales,Females,3004
2018,Victoria,Males,240
2018,Victoria,Females,2002
2018,Queensland,Males,223
2018,Queensland,Females,1442
2018,South Australia,Males,72
2018,South Australia,Females,561
2018,Western Australia,Males,133
2018,Western Australia,Females,647
2018,Tasmania,Males,3
2018,Tasmania,Females,78
2018,Northern Territory,Males,11
2018,Northern Territory,Females,92
2018,Australian Capital Territory,Males,6
2018,Australian Capital Territory,Females,60
2019,New South Wales,Males,672
2019,New South Wales,Females,2997
2019,Victoria,Males,226
2019,Victoria,Females,2016
2019,Queensland,Males,248
2019,Queensland,Females,1471
2019,South Australia,Males,77
2019,South Australia,Females,549
2019,Western Australia,Males,101
2019,Western Australia,Females,651
2019,Tasmania,Males,14
2019,Tasmania,Females,96
2019,Northern Territory,Males,5
2019,Northern Territory,Females,73
2019,Australian Capital Territory,Males,16
2019,Australian Capital Territory,Females,107
2020,New South Wales,Males,786
2020,New South Wales,Females,3603
2020,Victoria,Males,262
2020,Victoria,Females,2197
2020,Queensland,Males,256
2020,Queensland,Females,1592
2020,South Australia,Males,81
2020,South Australia,Females,559
2020,Western Australia,Males,126
2020,Western Australia,Females,761
2020,Tasmania,Males,13
2020,Tasmania,Females,104
2020,Northern Territory,Males,17
2020,Northern Territory,Females,99
2020,Australian Capital Territory,Males,9
2020,Australian Capital Territory,Females,66
2021,New South Wales,Males,741
2021,New South Wales,Females,4110
2021,Victoria,Males,244
2021,Victoria,Females,2365
2021,Queensland,Males,232
2021,Queensland,Females,1934
2021,South Australia,Males,69
2021,South Australia,Females,669
2021,Western Australia,Males,78
2021,Western Australia,Females,846
2021,Tasmania,Males,21
2021,Tasmania,Females,170
2021,Northern Territory,Males,0
2021,Northern Territory,Females,97
2021,Australian Capital Territory,Males,9
2021,Australian Capital Territory,Females,102
2022,New South Wales,Males,687
2022,New South Wales,Females,4110
2022,Victoria,Males,229
2022,Victoria,Females,2572
2022,Queensland,Males,284
2022,Queensland,Females,2387
2022,South Australia,Males,64
2022,South Australia,Females,618
2022,Western Australia,Males,108
2022,Western Australia,Females,783
2022,Tasmania,Males,26
2022,Tasmania,Females,232
2022,Northern Territory,Males,10
2022,Northern Territory,Females,111
2022,Australian Capital Territory,Males,12
2022,Australian Capital Territory,Females,104
2023,New South Wales,Males,900
2023,New South Wales,Females,5273
2023,Victoria,Males,263
2023,Victoria,Females,2350
2023,Queensland,Males,369
2023,Queensland,Females,3065
2023,South Australia,Males,73
2023,South Australia,Females,705
2023,Western Australia,Males,102
2023,Western Australia,Females,888
2023,Tasmania,Males,32
2023,Tasmania,Females,212
2023,Northern Territory,Males,13
2023,Northern Territory,Females,104
2023,Australian Capital Territory,Males,9
2023,Australian Capital Territory,Females,116